     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      199865.950      289048.733      224312.913       30367.124 (13.538 %)    139.314
       IKJ          96.000           0.094           0.000         64         60       63810.100       68401.550       64580.778         953.637 (1.477 %)    483.890
       IEX          96.000           0.094           0.000         64         60       63987.167       64256.083       64221.052          43.391 (0.068 %)    486.601
  UNROLLX4          96.000           0.094           0.000         64         60      118047.883      212425.133      127311.143       23753.213 (18.658 %)    245.462
     CBLAS          96.000           0.094           0.000         64         60       16149.583       17260.917       16213.245         194.008 (1.197 %)   1927.436
  UNROLLX8          96.000           0.094           0.000         64         60      120032.883      257785.600      124589.271       23978.085 (19.246 %)    250.824
