     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         384.000           0.375           0.000        128         60     2142455.400     2335200.133     2162573.003       47305.604 (2.187 %)     57.802
       IKJ         384.000           0.375           0.000        128         60     1332228.367     1390864.567     1337540.306       13903.573 (1.039 %)     93.455
       IEX         384.000           0.375           0.000        128         60     1346746.333     1491301.283     1366134.074       27924.067 (2.044 %)     91.499
  UNROLLX4         384.000           0.375           0.000        128         60     1084737.333     1276014.400     1095811.660       35758.315 (3.263 %)    114.071
     CBLAS         384.000           0.375           0.000        128         60      109890.533      115101.850      110234.568         952.364 (0.864 %)   1133.946
  UNROLLX8         384.000           0.375           0.000        128         60     1095475.283     1154668.417     1101906.374       14038.000 (1.274 %)    113.440
