     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      116272.500      256595.583      128521.924       29437.328 (22.905 %)    243.149
       IKJ          96.000           0.094           0.000         64         60       81145.300      179922.467       86435.480       20810.794 (24.077 %)    361.541
       IEX          96.000           0.094           0.000         64         60       62232.100      117387.150       64572.864        9555.685 (14.798 %)    483.949
  UNROLLX4          96.000           0.094           0.000         64         60       73801.333      138367.867       76584.223       11946.902 (15.600 %)    408.047
     CBLAS          96.000           0.094           0.000         64         60       16310.400       28572.117       21936.185        5497.584 (25.062 %)   1424.587
  UNROLLX8          96.000           0.094           0.000         64         60       68971.833       69318.667       69011.997          63.057 (0.091 %)    452.820
