     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      845611.083     1063349.700      880432.680       61850.081 (7.025 %)     35.494
       IKJ          96.000           0.094           0.000         64         60      761895.667      892588.433      770514.861       24697.815 (3.205 %)     40.557
       IEX          96.000           0.094           0.000         64         60      599250.750      656504.200      601741.557       10239.037 (1.702 %)     51.933
  UNROLLX4          96.000           0.094           0.000         64         60      528668.317      662963.883      535622.399       25210.459 (4.707 %)     58.343
     CBLAS          96.000           0.094           0.000         64         60       16158.350       17305.700       16210.381         197.377 (1.218 %)   1927.777
  UNROLLX8          96.000           0.094           0.000         64         60      505384.533      562702.300      508351.776       10460.335 (2.058 %)     61.473
