     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      196548.133      296149.467      220958.262       30721.512 (13.904 %)    141.429
       IKJ          96.000           0.094           0.000         64         60       63825.250       97423.583       65683.949        5826.563 (8.871 %)    475.763
       IEX          96.000           0.094           0.000         64         60       63993.850       99374.883       65280.544        6121.007 (9.376 %)    478.703
  UNROLLX4          96.000           0.094           0.000         64         60      118324.783      197815.817      127718.158       24784.720 (19.406 %)    244.679
     CBLAS          96.000           0.094           0.000         64         60       16125.067       17232.233       16229.471         187.453 (1.155 %)   1925.509
  UNROLLX8          96.000           0.094           0.000         64         60      119529.100      145582.117      121029.520        4471.854 (3.695 %)    258.201
