     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         384.000           0.375           0.000        128         60     2102842.167     2259239.750     2120133.145       36257.929 (1.710 %)     58.959
       IKJ         384.000           0.375           0.000        128         60     1080665.083     1138278.000     1089315.854       14025.931 (1.288 %)    114.751
       IEX         384.000           0.375           0.000        128         60     1077446.033     1290336.800     1094371.870       43429.903 (3.968 %)    114.221
  UNROLLX4         384.000           0.375           0.000        128         60     1074294.833     1132407.600     1078164.139       10590.091 (0.982 %)    115.938
     CBLAS         384.000           0.375           0.000        128         60      110057.833      111811.467      110156.782         297.943 (0.270 %)   1134.746
  UNROLLX8         384.000           0.375           0.000        128         60     1086055.217     1221686.267     1095939.301       26583.328 (2.426 %)    114.057
