     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60     1012594.200     1336402.083     1026028.436       56517.406 (5.508 %)     30.457
       IKJ          96.000           0.094           0.000         64         60      947477.283     1021163.400      954642.251       17899.143 (1.875 %)     32.735
       IEX          96.000           0.094           0.000         64         60      756485.517      898420.100      766064.323       30127.220 (3.933 %)     40.793
  UNROLLX4          96.000           0.094           0.000         64         60      674333.433      802578.100      681946.331       24353.790 (3.571 %)     45.825
     CBLAS          96.000           0.094           0.000         64         60       16106.667       17255.750       16175.643         200.427 (1.239 %)   1931.917
  UNROLLX8          96.000           0.094           0.000         64         60      653600.733      710676.400      656782.704       10903.351 (1.660 %)     47.580
