     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         384.000           0.375           0.000        128         60     2193726.417     2340536.950     2208468.937       32559.707 (1.474 %)     56.600
       IKJ         384.000           0.375           0.000        128         60     1231478.650     1371485.033     1249740.057       26332.498 (2.107 %)    100.021
       IEX         384.000           0.375           0.000        128         60     1339925.950     1397703.800     1346135.146       14565.725 (1.082 %)     92.858
  UNROLLX4         384.000           0.375           0.000        128         60     1075841.983     1205655.100     1085459.155       25871.232 (2.383 %)    115.159
     CBLAS         384.000           0.375           0.000        128         60      109979.750      111694.050      110079.486         291.132 (0.264 %)   1135.543
  UNROLLX8         384.000           0.375           0.000        128         60     1099687.750     1236039.217     1108180.975       25283.451 (2.282 %)    112.797
