     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      194956.467      278379.050      212974.589       25916.282 (12.169 %)    146.731
       IKJ          96.000           0.094           0.000         64         60       64111.433       74821.133       65058.115        1962.737 (3.017 %)    480.340
       IEX          96.000           0.094           0.000         64         60       64155.867       64445.133       64299.962          43.392 (0.067 %)    486.003
  UNROLLX4          96.000           0.094           0.000         64         60      117936.467      212596.150      127408.172       24466.923 (19.204 %)    245.275
     CBLAS          96.000           0.094           0.000         64         60       16280.883       17405.067       16345.867         192.482 (1.178 %)   1911.798
  UNROLLX8          96.000           0.094           0.000         64         60      118804.517      175971.167      120806.964        9951.463 (8.237 %)    258.677
