     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         384.000           0.375           0.000        128         60     1979458.550     2216801.983     2010504.661       53637.561 (2.668 %)     62.173
       IKJ         384.000           0.375           0.000        128         60      585972.767      607158.450      590463.649        4352.055 (0.737 %)    211.698
       IEX         384.000           0.375           0.000        128         60      583564.317      934261.667      676720.230      106774.946 (15.778 %)    184.714
  UNROLLX4         384.000           0.375           0.000        128         60      951562.367     1357387.750     1038030.149      130809.507 (12.602 %)    120.420
     CBLAS         384.000           0.375           0.000        128         60      110243.050      112010.600      110375.880         300.022 (0.272 %)   1132.494
  UNROLLX8         384.000           0.375           0.000        128         60      950151.350     1401634.150     1019184.263      136233.574 (13.367 %)    122.647
