     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      204707.983      289133.933      220823.032       27250.127 (12.340 %)    141.516
       IKJ          96.000           0.094           0.000         64         60      122829.350      256410.850      127755.533       23169.118 (18.136 %)    244.608
       IEX          96.000           0.094           0.000         64         60      124341.383      233455.583      136148.132       28712.969 (21.090 %)    229.529
  UNROLLX4          96.000           0.094           0.000         64         60      120192.667      133355.567      121388.844        2962.979 (2.441 %)    257.437
     CBLAS          96.000           0.094           0.000         64         60       16133.917       17186.667       16199.228         184.653 (1.140 %)   1929.104
  UNROLLX8          96.000           0.094           0.000         64         60      123583.417      124230.967      123652.069         112.740 (0.091 %)    252.725
