     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         384.000           0.375           0.000        128         60     1978863.533     2112415.267     1990330.879       26885.849 (1.351 %)     62.804
       IKJ         384.000           0.375           0.000        128         60      585368.283      715973.750      592361.178       22408.631 (3.783 %)    211.020
       IEX         384.000           0.375           0.000        128         60      602374.283      660543.517      605851.694       10280.541 (1.697 %)    206.321
  UNROLLX4         384.000           0.375           0.000        128         60      957275.017     1015577.833      961953.547       13978.457 (1.453 %)    129.944
     CBLAS         384.000           0.375           0.000        128         60      110288.150      112100.367      110407.049         308.279 (0.279 %)   1132.174
  UNROLLX8         384.000           0.375           0.000        128         60      977638.783     1111199.783      986654.244       26311.110 (2.667 %)    126.691
