     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      206784.300      306509.333      224329.009       29358.843 (13.087 %)    139.304
       IKJ          96.000           0.094           0.000         64         60      157419.883      275288.750      167701.442       27714.051 (16.526 %)    186.343
       IEX          96.000           0.094           0.000         64         60      155057.917      210878.850      157274.085        9690.579 (6.162 %)    198.698
  UNROLLX4          96.000           0.094           0.000         64         60      120504.083      125996.600      120824.702         958.805 (0.794 %)    258.639
     CBLAS          96.000           0.094           0.000         64         60       16246.300       17365.767       16312.317         193.990 (1.189 %)   1915.730
  UNROLLX8          96.000           0.094           0.000         64         60      122643.267      122994.400      122699.490          61.745 (0.050 %)    254.687
