     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         384.000           0.375           0.000        128         60     2114875.500     2238401.467     2127495.382       27797.394 (1.307 %)     58.755
       IKJ         384.000           0.375           0.000        128         60      593034.133      678039.200      600164.924       19699.131 (3.282 %)    208.276
       IEX         384.000           0.375           0.000        128         60      588995.317      646202.667      594507.065       11552.119 (1.943 %)    210.258
  UNROLLX4         384.000           0.375           0.000        128         60      950266.517     1007523.800      953026.680       10169.646 (1.067 %)    131.161
     CBLAS         384.000           0.375           0.000        128         60      110123.250      215472.367      114565.221       18849.549 (16.453 %)   1091.082
  UNROLLX8         384.000           0.375           0.000        128         60      990484.217     1134766.650      999823.372       27928.584 (2.793 %)    125.022
