     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK         384.000           0.375           0.000        128         60     2109484.217     2316967.617     2139554.053       55245.985 (2.582 %)     58.423
       IKJ         384.000           0.375           0.000        128         60      678068.367      737219.283      682299.014       11401.167 (1.671 %)    183.204
       IEX         384.000           0.375           0.000        128         60      480616.967      538037.483      483915.596       11054.788 (2.284 %)    258.310
  UNROLLX4         384.000           0.375           0.000        128         60      620212.117      754581.983      627549.665       25377.688 (4.044 %)    199.187
     CBLAS         384.000           0.375           0.000        128         60      110133.183      111870.433      110274.048         296.323 (0.269 %)   1133.540
  UNROLLX8         384.000           0.375           0.000        128         60      611933.533      669902.000      615372.369       10873.711 (1.767 %)    203.129
