     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      206854.667      298365.417      229758.923       32728.324 (14.245 %)    136.012
       IKJ          96.000           0.094           0.000         64         60       81141.867      172439.733       84224.832       15868.596 (18.841 %)    371.031
       IEX          96.000           0.094           0.000         64         60       62354.200       67049.800       62856.908         983.955 (1.565 %)    497.161
  UNROLLX4          96.000           0.094           0.000         64         60       73631.350       74685.067       73697.104         180.066 (0.244 %)    424.033
     CBLAS          96.000           0.094           0.000         64         60       16208.767       28105.067       18824.514        4601.622 (24.445 %)   1660.069
  UNROLLX8          96.000           0.094           0.000         64         60       69087.467      120644.450       70982.351        8962.603 (12.627 %)    440.250
