     title             KiB             MiB             GiB          n          r             min             max            mean                 stddev (%)      MiB/s
       IJK          96.000           0.094           0.000         64         60      207321.267      301362.983      223757.792       26895.491 (12.020 %)    139.660
       IKJ          96.000           0.094           0.000         64         60      156381.117      286131.367      165426.177       31246.620 (18.889 %)    188.906
       IEX          96.000           0.094           0.000         64         60      157535.883      163717.550      157794.405        1068.775 (0.677 %)    198.043
  UNROLLX4          96.000           0.094           0.000         64         60      119490.783      125968.667      119920.741        1099.701 (0.917 %)    260.589
     CBLAS          96.000           0.094           0.000         64         60       16127.917       17263.667       16195.497         198.898 (1.228 %)   1929.549
  UNROLLX8          96.000           0.094           0.000         64         60      121367.650      121799.183      121573.206         146.883 (0.121 %)    257.047
